ObjID,a,e,inc,node,argPeri,ma,epochMJD_TDB,FORMAT
1931 EC,2.6781924999999998,0.18593959999999998,6.96612,169.93814,357.54886,73.85447,60400.0,KEP
1931 FD,2.616913,0.1737182,8.71344,6.74306,234.00644,302.94999,60400.0,KEP
1931 GE,3.9818645999999998,0.1553505,7.18886,88.14468,205.29284,174.49844,60400.0,KEP
1927 CQ,2.6656269,0.1933491,5.59158,260.56658,156.48797,176.20249,60400.0,KEP
1927 EA,2.2592086,0.1171769,9.39195,336.29899,63.37268,304.07729,60400.0,KEP
1930 DC,2.3846319,0.129125,2.79821,15.08947,205.43335,166.67808,60400.0,KEP
1926 RE,2.6668142,0.07275129999999999,11.31136,355.69352,310.52967,183.56828,60400.0,KEP
1927 WC,2.2370731,0.1054561,5.69772,71.8561,2.58447,266.98566,60400.0,KEP
1929 PL,3.0208958,0.1009529,10.75067,42.95061,296.6974,340.62791,60400.0,KEP
1929 XC,2.639949,0.2239831,10.69539,327.13006,74.84725,13.94632,60400.0,KEP
1930 SB,2.1904638,0.18020989999999998,4.8167100000000005,5.40026,7.14525,304.37391,60400.0,KEP
1930 SG,2.9333957,0.1115301,9.86332,275.16073,95.79973,214.53215,60400.0,KEP
1930 SL,2.4321775,0.1304758,3.16858,26.35779,41.61416,188.32786,60400.0,KEP
1931 CA,2.8912777,0.0482403,18.46088,134.55678,59.22565,292.89481,60400.0,KEP
1931 FE,2.3643772,0.2593505,23.91213,1.23944,131.48993,227.92174,60400.0,KEP
1931 HB,2.6488791,0.1226708,14.1477,49.4769,185.56667,196.52909,60400.0,KEP
1931 JG,2.9140616,0.0897941,10.84821,290.80147,247.22805,289.84468,60400.0,KEP
1931 KD,2.2586635999999998,0.2001338,7.19128,281.21108,328.36591,127.72939,60400.0,KEP
1931 KE,2.6522973,0.18064829999999998,17.67418,100.69802,262.52899,71.12528,60400.0,KEP
1931 LD,2.8832467,0.23458759999999998,12.97793,255.60749,277.04018,45.9084,60400.0,KEP
1931 RA,2.2503694,0.3354909,2.7257000000000002,259.47723,84.61407,148.58034,60400.0,KEP
1931 RF,3.0190027,0.0325361,8.78027,235.49936,290.57215,56.26186,60400.0,KEP
1931 RH,3.0604359,0.1117683,4.61501,204.60841,52.85026,194.1848,60400.0,KEP
1931 RK,2.6978234,0.038967499999999995,7.00153,203.0569,167.07068,308.80107,60400.0,KEP
1931 RL,3.9959629,0.1676311,3.33357,49.82628,307.85648,281.38153,60400.0,KEP
1931 TA,2.8826112999999998,0.2506449,5.99755,224.50219,177.34844,298.76824,60400.0,KEP
1931 TE,2.2636633,0.2939193,1.87781,7.50294,313.82496,84.77481,60400.0,KEP
1931 TB1,2.5361332,0.2718734,8.84663,22.98038,349.52417,329.0155,60400.0,KEP
